journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Australian and New Zealand Journal of Statistics,australian and new zealand journal of statistics,1369-1473,1467-842X,Wiley-Blackwell Publishing,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Bar Review,australian bar review,0814-8589,,LexisNexis,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Business Law Review,australian business law review,0310-1053,,Thomson Reuters,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of Corporate Law,australian journal of corporate law,1037-4124,,LexisNexis,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of International Affairs,australian journal of international affairs,1035-7718,1465-332X,Taylor & Francis Online,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of Labour Law,australian journal of labour law,1030-7222,,LexisNexis,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of Management,australian journal of management,0312-8962,1327-2020,Sage Publications,A,3502,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of Political Science,australian journal of political science,1036-1146,1363-030X,Taylor & Francis Online,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Journal of Public Administration,australian journal of public administration,0313-6647,1467-8500,Wiley-Blackwell Publishing,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Law Journal,australian law journal,0004-9611,,Thomson Reuters,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian Tax Forum,australian tax forum,0812-695X,,Tax Institute,A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Australian Tax Review,australian tax review,0311-094X,,Thomson Reuters,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Bayesian Analysis,bayesian analysis,1936-0975,1931-6690,International Society for Bayesian Analysis,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Behavioral and Brain Sciences,behavioral and brain sciences,1469-1825,,Cambridge University Press,,,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4,False,,excluded_by_scope
Behavioral Research in Accounting,behavioral research in accounting,1050-4753,1558-8009,American Accounting Association,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Behaviour and Information Technology,behaviour and information technology,0144-929X,1362-3001,Taylor & Francis Online,A,4609,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Berkeley Technology Law Journal,berkeley technology law journal,1086-3818,,University of California Berkeley School of Law,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Bernoulli,bernoulli,1350-7265,1573-9759,Bernoulli Society for Mathematical Statistics and Probability,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Bioinformatics,bioinformatics,1367-4803,1460-2059,Oxford University Press,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Biometrika,biometrika,0006-3444,1464-3510,Oxford University Press,A*,4905,4,ECON,False,False,False,False,AJG2024_4;ABDC_A*,False,,excluded_by_scope
Biostatistics,biostatistics,1465-4644,1468-4357,Oxford University Press,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Boston University Law Review,boston university law review,0006-8047,,Boston University School of Law,A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
British Accounting Review,british accounting review,0890-8389,1095-8347,Elsevier,A*,3501,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
British Journal of Educational Technology,british journal of educational technology,0007-1013,1467-8535,Wiley-Blackwell Publishing,A,4609,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
British Journal of Industrial Relations,british journal of industrial relations,0007-1080,1467-8543,Wiley-Blackwell Publishing,A*,3505,4,HRM&EMP,False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3505; AJG field HRM&EMP; title keyword 'industrial relations',include_candidate
British Journal of Management,british journal of management,1045-3172,1467-8551,Wiley-Blackwell Publishing,A*,3507,4,ETHICS-CSR-MAN,False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507,include_candidate
British Journal of Political Science,british journal of political science,0007-1234,1469-2112,Cambridge University Press,A*,3599,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
British Journal of Social Psychology,british journal of social psychology,0144-6665,2044-8309,Wiley-Blackwell Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
British Journal of Sociology,british journal of sociology,0007-1315,1468-4446,Wiley-Blackwell Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
British Tax Review,british tax review,0007-1870,,Sweet & Maxwell,A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Brookings Papers on Economic Activity,brookings papers on economic activity,0007-2303,1533-4465,Brookings Institutions,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Building Research and Information,building research and information,0961-3218,1466-4321,Taylor & Francis Online,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Business & Information Systems Engineering,business and information systems engineering,2363-7005,1867-0202,Springer International Publishing,A,4609,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Business and Society,business and society,0007-6503,1552-4205,Sage Publications,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
Business Ethics Quarterly,business ethics quarterly,1052-150X,2153-3326,Cambridge University Press,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
Business History,business history,0007-6791,1743-7938,Taylor & Francis Online,A*,3505,4,BUS HIST & ECON HIST,False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3505,needs_review
Business History Review,business history review,0007-6805,2044-768X,Cambridge University Press,A,3505,4,BUS HIST & ECON HIST,False,False,False,False,AJG2024_4;ABDC_A,True,ABDC FoR 3505,needs_review
Business Strategy and the Environment,business strategy and environment,0964-4733,1099-0836,Wiley-Blackwell Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
California Management Review,california management review,0008-1256,2162-8564,Sage Publications,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
Cambridge Journal of Economics,cambridge journal of economics,0309-166X,1464-3545,Oxford University Press,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Cambridge Law Journal,cambridge law journal,0008-1973,1469-2139,Cambridge University Press,A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Canadian Business Law Journal,canadian business law journal,0319-3322,,Canada Law Book,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,canadian journal of agricultural economics revue canadienne d agroeconomie,0008-3976,1744-7976,Wiley-Blackwell Publishing,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Canadian Journal of Economics / Revue Canadienne D'Economique,canadian journal of economics revue canadienne d economique,0008-4085,1540-5982,Wiley-Blackwell Publishing,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Canadian Journal of Statistics,canadian journal of statistics,0319-5724,1708-945X,Wiley-Blackwell Publishing,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Canadian Tax Journal,canadian tax journal,0008-5111,,Canadian Tax Foundation,A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Capital Markets Law Journal,capital markets law journal,1750-7219,1750-7227,Oxford University Press,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Career Development International,career development international,1362-0436,1758-6003,Emerald Group Publishing,A,3505,,,False,False,False,False,ABDC_A,True,ABDC FoR 3505,needs_review
China Accounting and Finance Review,china accounting and finance review,1029-807X,2307-3055,Hong Kong Polytechnic University,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
China Economic Review,china economic review,1043-951X,1873-7781,Elsevier,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
China Finance Review International,china finance review international,2044-1398,2044-1401,Emerald Group Publishing Limited,A,3502,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
China Journal of Accounting Research,china journal of accounting research,1755-3091,2214-1421,Elsevier,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Civil Justice Quarterly,civil justice quarterly,0261-9261,,Sweet & Maxwell,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Cognition,cognition,1873-7838,,Elsevier,,,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4,False,,excluded_by_scope
Columbia Business Law Review,columbia business law review,0898-0721,1930-7934,Columbia Business Law Review,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Columbia Journal of Asian Law,columbia journal of asian law,1094-8449,2373-0498,Columbia Law School,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Columbia Journal of Law and the Arts,columbia journal of law and arts,1544-4848,,Columbia University,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Columbia Journal of Transnational Law,columbia journal of transnational law,0010-1931,2159-1814,Columbia Society of International Law,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Columbia Law Review,columbia law review,0010-1958,1945-2268,"Columbia Law Review Association, Inc.",A*,4801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Communication Research,communication research,0093-6502,1552-3810,Sage Publications,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Communication Theory,communication theory,1050-3293,1468-2885,Oxford University Press,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Communications of the Association for Information Systems,communications of association for information systems,1529-3181,,Association for Information Systems (AIS),A,4609,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Company and Securities Law Journal,company and securities law journal,0729-2775,,Thomson Reuters,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Comparative Labor Law and Policy Journal,comparative labor law and policy journal,1095-6654,,University of Illinois Press,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Comparative Political Studies,comparative political studies,0010-4140,1552-3829,Sage Publications,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Comparative Politics,comparative politics,0010-4159,2151-6227,City University of New York,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Competition and Consumer Law Journal,competition and consumer law journal,1039-5598,,LexisNexis,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Computational Statistics and Data Analysis,computational statistics and data analysis,0167-9473,1872-7352,Elsevier,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Computers & Industrial Engineering,computers and industrial engineering,0360-8352,1879-0550,Elsevier,A,3503,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Computers and Operations Research,computers and operations research,0305-0548,1873-765X,Elsevier,A,3509,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Computers in Human Behavior,computers in human behavior,0747-5632,1873-7692,Elsevier,A,4609,,,False,False,True,False,ABDC_A;HCI_SJR_Q1,True,HCI selected journal with SJR Q1,include_candidate
Construction Management and Economics,construction management and economics,0144-6193,1466-433X,Taylor & Francis Online,A,3504,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
